Rk,Player,Age,Pos,GP,Goals,Assists,PTS,+/-,PIM,ESGoals,PPGoals,SHGoals,GWGoals,ESAssists,PPAssists,SHAssists,Shots,Shot%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Season
1,Patrice Bergeron,29,C,81,23,32,55,2,44,18,4,1,4,21,10,1,234,9.8,1469,18:08:00,4.7,1.7,6.4,60,57,1175,764,60.6,2015
2,Loui Eriksson,29,RW,81,22,25,47,1,14,16,6,0,4,19,5,1,169,13,1497,18:29:00,3.6,1.6,5.3,23,29,4,8,33.3,2015
3,Milan Lucic,26,LW,81,18,26,44,13,81,16,2,0,4,20,6,0,141,12.8,1325,16:21:00,3.3,2,5.3,23,259,34,40,45.9,2015
4,Carl Soderberg,29,C,82,13,31,44,10,26,8,5,0,3,28,3,0,163,8,1378,16:49:00,2.6,1.9,4.5,36,76,369,389,48.7,2015
5,Brad Marchand,26,LW,77,24,18,42,5,95,20,2,2,5,17,0,1,180,13.3,1301,16:54:00,3.8,1.6,5.5,28,72,13,19,40.6,2015
6,Dougie Hamilton,21,D,72,10,32,42,-3,41,5,5,0,2,22,10,0,188,5.3,1536,21:20:00,4,3.2,7.1,53,106,0,0,NA,2015
7,Reilly Smith,23,RW,81,13,27,40,7,20,12,1,0,0,17,10,0,143,9.1,1247,15:24:00,2.5,1.6,4.1,39,74,2,5,28.6,2015
8,Torey Krug,23,D,78,12,27,39,13,20,10,2,0,0,15,12,0,205,5.9,1529,19:36:00,3.9,4.3,8.2,68,75,0,0,NA,2015
9,David Krejci,28,C,47,7,24,31,7,22,5,1,1,1,17,7,0,70,10,854,18:10:00,1.9,1.2,3.1,29,35,316,266,54.3,2015
10,Chris Kelly,34,C,80,7,21,28,6,48,6,0,1,2,20,0,1,112,6.3,1211,15:08:00,0.6,1.6,2.1,61,126,262,274,48.9,2015
11,David Pastrnak,18,RW,46,10,17,27,12,8,8,2,0,3,16,1,0,93,10.8,643,13:58:00,2.4,1.2,3.6,11,20,5,12,29.4,2015
